EC 1.1.1.1, [EC 1.1.1.1 created 1961]
EC 1.1.1.10, [EC 1.1.1.10 created 1961]
EC 1.1.1.100, [EC 1.1.1.100 created 1972, modified 1976]
EC 1.1.1.101, [EC 1.1.1.101 created 1972, modified 1976]
EC 1.14.13.102, [EC 1.14.13.102 created 2007]
EC 1.1.1.103, [EC 1.1.1.103 created 1972]
EC 1.1.1.104, [EC 1.1.1.104 created 1972]
EC 1.1.1.105, [EC 1.1.1.105 created 1972, modified 2011]
EC 1.1.1.106, [EC 1.1.1.106 created 1972, modified 1976]
EC 1.1.1.107, [EC 1.1.1.107 created 1972]
EC 1.1.1.108, [EC 1.1.1.108 created 1972]
EC 1.1.1.109, [EC 1.1.1.109 created 1972, deleted 1976]
EC 1.1.1.11, [EC 1.1.1.11 created 1961]
EC 1.1.1.110, [EC 1.1.1.110 created 1972]
EC 1.1.1.111, [EC 1.1.1.111 created 1972]
EC 1.1.1.112, [EC 1.1.1.112 created 1972]
EC 1.1.1.113, [EC 1.1.1.113 created 1972]
EC 1.1.1.114, [EC 1.1.1.114 created 1972]
EC 1.14.13.115, [EC 1.14.13.115 created 2010]
EC 1.1.1.116, [EC 1.1.1.116 created 1972]
EC 1.1.1.117, [EC 1.1.1.117 created 1972]
EC 1.1.1.118, [EC 1.1.1.118 created 1972, modified 1976]
EC 1.1.1.119, [EC 1.1.1.119 created 1972]
EC 1.1.1.12, [EC 1.1.1.12 created 1961]
EC 1.1.1.120, [EC 1.1.1.120 created 1972]
EC 1.1.1.121, [EC 1.1.1.121 created 1972]
EC 1.1.1.122, [EC 1.1.1.122 created 1972]
EC 1.1.1.123, [EC 1.1.1.123 created 1972, modified 1976]
EC 1.1.1.124, [EC 1.1.1.124 created 1972, modified 1976]
EC 1.1.1.125, [EC 1.1.1.125 created 1972]
EC 1.1.1.126, [EC 1.1.1.126 created 1972]
EC 1.1.1.127, [EC 1.1.1.127 created 1972, modified 1976, modified 1989]
EC 1.1.1.128, [EC 1.1.1.128 created 1972, modified 1976, deleted 2012]
EC 1.1.1.129, [EC 1.1.1.129 created 1972]
EC 1.1.1.13, [EC 1.1.1.13 created 1961]
EC 1.1.1.130, [EC 1.1.1.130 created 1972]
EC 1.1.1.131, [EC 1.1.1.131 created 1972]
EC 1.1.1.132, [EC 1.1.1.132 created 1972]
EC 1.1.1.133, [EC 1.1.1.133 created 1972]
EC 1.1.1.134, [EC 1.1.1.134 created 1972]
EC 1.1.1.135, [EC 1.1.1.135 created 1972, modified 1976]
EC 1.1.1.136, [EC 1.1.1.136 created 1972, modified 2012]
EC 1.1.1.137, [EC 1.1.1.137 created 1972, modified 2017]
EC 1.1.1.138, [EC 1.1.1.138 created 1972]
